train/n_updates,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/learning_rate,train/actor_loss,rollout/ep_len_mean,train/critic_loss
11834,788,-3.0421299934387207,0.0026871608570218086,464,0.0,304,240000,0.00075,-15.479005813598633,500.0,0.02663450688123703
,788,,,468,0.0,304,240000,,,500.0,
,788,,,472,0.0,304,240000,,,500.0,
,788,,,476,0.0,304,240000,,,500.0,
,788,,,480,0.0,304,240000,,,500.0,
12334,821,-14.315836906433105,0.002646974055096507,484,0.0,304,250000,0.00075,-15.114550590515137,500.0,1.8692834377288818
,821,,,488,0.0,304,250000,,,500.0,
,821,,,492,0.0,304,250000,,,500.0,
,821,,,496,0.0,304,250000,,,500.0,
,821,,,500,0.0,304,250000,,,500.0,
12834,855,-2.852381706237793,0.0026303408667445183,504,0.0,304,260000,0.00075,-14.562749862670898,500.0,0.013781528919935226
,855,,,508,0.0,304,260000,,,500.0,
,855,,,512,0.0,304,260000,,,500.0,
,855,,,516,0.0,304,260000,,,500.0,
,855,,,520,0.0,304,260000,,,500.0,
13334,887,-4.743898868560791,0.002433313522487879,524,0.0,304,270000,0.00075,-14.372119903564453,500.0,0.02005678415298462
,887,,,528,0.0,304,270000,,,500.0,
,887,,,532,0.0,304,270000,,,500.0,
,887,,,536,0.0,304,270000,,,500.0,
,887,,,540,0.0,304,270000,,,500.0,
13834,921,-4.720146179199219,0.0024090162478387356,544,0.0,303,280000,0.00075,-14.000073432922363,500.0,0.019091246649622917
,921,,,548,0.0,303,280000,,,500.0,
,921,,,552,0.0,303,280000,,,500.0,
,921,,,556,0.0,303,280000,,,500.0,
,921,,,560,0.0,303,280000,,,500.0,
14334,954,20.029998779296875,0.002243952825665474,564,0.0,303,290000,0.00075,-13.584930419921875,500.0,1.5490124225616455
,954,,,568,0.0,303,290000,,,500.0,
,954,,,572,0.0,303,290000,,,500.0,
,954,,,576,0.0,303,290000,,,500.0,
,954,,,580,0.0,303,290000,,,500.0,
14834,988,3.3553459644317627,0.002138816984370351,584,0.0,303,300000,0.00075,-13.599151611328125,500.0,1.2317525148391724
,988,,,588,0.0,303,300000,,,500.0,
,988,,,592,0.0,303,300000,,,500.0,
,988,,,596,0.0,303,300000,,,500.0,
,988,,,600,0.0,303,300000,,,500.0,
15334,1022,-7.658650875091553,0.0020991854835301638,604,0.0,303,310000,0.00075,-13.134333610534668,500.0,0.01916388049721718
,1022,,,608,0.0,303,310000,,,500.0,
,1022,,,612,0.0,303,310000,,,500.0,
,1022,,,616,0.0,303,310000,,,500.0,
,1022,,,620,0.0,303,310000,,,500.0,
15834,1057,-4.7777791023254395,0.0019617110956460238,624,0.0,302,320000,0.00075,-12.63352108001709,500.0,0.015137186273932457
,1057,,,628,0.0,302,320000,,,500.0,
,1057,,,632,0.0,302,320000,,,500.0,
,1057,,,636,0.0,302,320000,,,500.0,
,1057,,,640,0.0,302,320000,,,500.0,
16334,1092,-0.06096231937408447,0.001852277317084372,644,0.0,302,330000,0.00075,-12.411285400390625,500.0,0.4134354889392853
,1092,,,648,0.0,302,330000,,,500.0,
,1092,,,652,0.0,302,330000,,,500.0,
,1092,,,656,0.0,302,330000,,,500.0,
,1092,,,660,0.0,302,330000,,,500.0,
16834,1126,-12.914041519165039,0.0017756595043465495,664,0.0,301,340000,0.00075,-12.437567710876465,500.0,0.01966017857193947
,1126,,,668,0.0,301,340000,,,500.0,
,1126,,,672,0.0,301,340000,,,500.0,
,1126,,,676,0.0,301,340000,,,500.0,
,1126,,,680,0.0,301,340000,,,500.0,
17334,1160,0.47641658782958984,0.0015349923633038998,684,0.0,301,350000,0.00075,-11.85771369934082,500.0,0.04041765630245209
,1160,,,688,0.0,301,350000,,,500.0,
,1160,,,692,0.0,301,350000,,,500.0,
,1160,,,696,0.0,301,350000,,,500.0,
,1160,,,700,0.0,301,350000,,,500.0,
17834,1194,-2.4137728214263916,0.0015447477344423532,704,0.0,301,360000,0.00075,-11.656455993652344,500.0,0.953830897808075
,1194,,,708,0.0,301,360000,,,500.0,
,1194,,,712,0.0,301,360000,,,500.0,
,1194,,,716,0.0,301,360000,,,500.0,
,1194,,,720,0.0,301,360000,,,500.0,
18334,1227,-0.7662452459335327,0.00151117704808712,724,0.0,301,370000,0.00075,-11.358633041381836,500.0,0.01372646726667881
,1227,,,728,0.0,301,370000,,,500.0,
,1227,,,732,0.0,301,370000,,,500.0,
,1227,,,736,0.0,301,370000,,,500.0,
,1227,,,740,0.0,301,370000,,,500.0,
18834,1261,-1.5752073526382446,0.0012509110383689404,744,0.0,301,380000,0.00075,-11.01915168762207,500.0,0.008032947778701782
,1261,,,748,0.0,301,380000,,,500.0,
,1261,,,752,0.0,301,380000,,,500.0,
,1261,,,756,0.0,301,380000,,,500.0,
,1261,,,760,0.0,301,380000,,,500.0,
19334,1294,-2.1203808784484863,0.001179030747152865,764,0.0,301,390000,0.00075,-10.507318496704102,500.0,0.2668062448501587
,1294,,,768,0.0,301,390000,,,500.0,
,1294,,,772,0.0,301,390000,,,500.0,
,1294,,,776,0.0,301,390000,,,500.0,
,1294,,,780,0.0,301,390000,,,500.0,
19834,1327,14.21493911743164,0.0013773689279332757,784,0.0,301,400000,0.00075,-10.612106323242188,500.0,0.012896182015538216
,1327,,,788,0.0,301,400000,,,500.0,
,1327,,,792,0.0,301,400000,,,500.0,
,1327,,,796,0.0,301,400000,,,500.0,
,1328,,,800,0.0,301,400000,,,500.0,
