time/time_elapsed,train/learning_rate,time/fps,time/total_timesteps,train/n_updates,time/episodes,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,train/ent_coef,rollout/ep_rew_mean
2859,,304,870000,,1736,,,500.0,,,1.56
2859,,304,870000,,1740,,,500.0,,,1.56
2892,0.00075,304,880000,43834,1744,0.0038114734925329685,-2.6828901767730713,500.0,-3.7987706661224365,0.0007792041287757456,1.56
2892,,304,880000,,1748,,,500.0,,,1.56
2892,,304,880000,,1752,,,500.0,,,1.56
2892,,304,880000,,1756,,,500.0,,,1.56
2892,,304,880000,,1760,,,500.0,,,1.56
2925,0.00075,304,890000,44334,1764,0.0012091610115021467,-14.311910629272461,500.0,-3.65205454826355,0.0007698225090280175,1.56
2925,,304,890000,,1768,,,500.0,,,1.56
2925,,304,890000,,1772,,,500.0,,,1.56
2925,,304,890000,,1776,,,500.0,,,1.56
2925,,304,890000,,1780,,,500.0,,,1.56
2957,0.00075,304,900000,44834,1784,0.008533066138625145,7.221441745758057,500.0,-3.564469575881958,0.0006673602620139718,0.0
2957,,304,900000,,1788,,,500.0,,,0.0
2957,,304,900000,,1792,,,500.0,,,0.0
2957,,304,900000,,1796,,,500.0,,,0.0
2957,,304,900000,,1800,,,500.0,,,0.0
2990,0.00075,304,910000,45334,1804,0.0025967122055590153,-10.296300888061523,500.0,-3.567504405975342,0.0007032144931145012,0.0
2990,,304,910000,,1808,,,500.0,,,0.0
2990,,304,910000,,1812,,,500.0,,,0.0
2990,,304,910000,,1816,,,500.0,,,0.0
2990,,304,910000,,1820,,,500.0,,,0.0
3023,0.00075,304,920000,45834,1824,0.003842167090624571,-3.6899733543395996,500.0,-3.4247188568115234,0.0007346713682636619,0.0
3023,,304,920000,,1828,,,500.0,,,0.0
3023,,304,920000,,1832,,,500.0,,,0.0
3023,,304,920000,,1836,,,500.0,,,0.0
3023,,304,920000,,1840,,,500.0,,,0.0
3056,0.00075,304,930000,46334,1844,0.03110075183212757,10.148462295532227,500.0,-3.754554271697998,0.0007924468372948468,0.0
3056,,304,930000,,1848,,,500.0,,,0.0
3056,,304,930000,,1852,,,500.0,,,0.0
3056,,304,930000,,1856,,,500.0,,,0.0
3056,,304,930000,,1860,,,500.0,,,0.0
3088,0.00075,304,940000,46834,1864,0.009385921992361546,-5.1029582023620605,500.0,-3.3224425315856934,0.0008558156550861895,0.0
3088,,304,940000,,1868,,,500.0,,,0.0
3088,,304,940000,,1872,,,500.0,,,0.0
3088,,304,940000,,1876,,,500.0,,,0.0
3088,,304,940000,,1880,,,500.0,,,0.0
3120,0.00075,304,950000,47334,1884,0.24890203773975372,32.186561584472656,500.0,-3.5144143104553223,0.001023686840198934,0.0
3120,,304,950000,,1888,,,500.0,,,0.0
3121,,304,950000,,1892,,,500.0,,,0.0
3121,,304,950000,,1896,,,500.0,,,0.0
3121,,304,950000,,1900,,,500.0,,,0.0
3153,0.00075,304,960000,47834,1904,0.0017014185432344675,-12.726160049438477,500.0,-3.3201727867126465,0.0010470828274264932,0.0
3153,,304,960000,,1908,,,500.0,,,0.0
3153,,304,960000,,1912,,,500.0,,,0.0
3153,,304,960000,,1916,,,500.0,,,0.0
3153,,304,960000,,1920,,,500.0,,,0.0
3186,0.00075,304,970000,48334,1924,0.0027315039187669754,9.60002326965332,500.0,-3.1489791870117188,0.0008667869260534644,0.0
3186,,304,970000,,1928,,,500.0,,,0.0
3186,,304,970000,,1932,,,500.0,,,0.0
3186,,304,970000,,1936,,,500.0,,,0.0
3186,,304,970000,,1940,,,500.0,,,0.0
3218,0.00075,304,980000,48834,1944,0.005239167250692844,-11.259979248046875,500.0,-3.1194305419921875,0.0008219775627367198,0.0
3218,,304,980000,,1948,,,500.0,,,0.0
3218,,304,980000,,1952,,,500.0,,,0.0
3218,,304,980000,,1956,,,500.0,,,0.0
3218,,304,980000,,1960,,,500.0,,,0.0
3251,0.00075,304,990000,49334,1964,0.007965432479977608,-17.28731918334961,500.0,-3.103034496307373,0.0007787019130773842,1.69
3251,,304,990000,,1968,,,500.0,,,1.69
3251,,304,990000,,1972,,,500.0,,,1.69
3251,,304,990000,,1976,,,500.0,,,1.69
3251,,304,990000,,1980,,,500.0,,,1.69
3284,0.00075,304,1000000,49834,1984,0.012566841207444668,-8.632192611694336,500.0,-3.1916146278381348,0.0007421630434691906,1.69
3284,,304,1000000,,1988,,,500.0,,,1.69
3284,,304,1000000,,1992,,,500.0,,,1.69
3284,,304,1000000,,1996,,,500.0,,,1.69
3284,,304,1000000,,2000,,,500.0,,,1.69
