train/critic_loss,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/learning_rate,time/total_timesteps,train/actor_loss,time/fps
,212,500.0,0.0,,317,,,,110000,,346
,216,500.0,0.0,,317,,,,110000,,346
,220,500.0,0.0,,317,,,,110000,,346
0.28629541397094727,224,500.0,0.1,0.17421375215053558,347,5834,-20.438810348510742,0.0003,120000,-47.198516845703125,344
,228,500.0,0.1,,347,,,,120000,,344
,232,500.0,0.1,,347,,,,120000,,344
,236,500.0,0.1,,347,,,,120000,,344
,240,500.0,0.1,,347,,,,120000,,344
28.18597412109375,244,500.0,0.1,0.15006831288337708,378,6334,-21.956279754638672,0.0003,130000,-47.31108093261719,343
,248,500.0,0.1,,378,,,,130000,,343
,252,500.0,0.1,,378,,,,130000,,343
,256,500.0,0.1,,378,,,,130000,,343
,260,500.0,0.1,,378,,,,130000,,343
0.24947205185890198,264,500.0,0.1,0.12932312488555908,407,6834,-23.633949279785156,0.0003,140000,-47.105857849121094,343
,268,500.0,0.1,,407,,,,140000,,343
,272,500.0,0.1,,407,,,,140000,,343
,276,500.0,0.1,,407,,,,140000,,343
,280,500.0,0.1,,407,,,,140000,,343
0.3550100326538086,284,500.0,0.1,0.11145734786987305,436,7334,-24.652935028076172,0.0003,150000,-46.750877380371094,343
,288,500.0,0.1,,436,,,,150000,,343
,292,500.0,0.1,,436,,,,150000,,343
,296,500.0,0.1,,436,,,,150000,,343
,300,500.0,0.1,,436,,,,150000,,343
0.17109127342700958,304,500.0,0.1,0.09604759514331818,466,7834,-27.077877044677734,0.0003,160000,-46.49123764038086,343
,308,500.0,0.1,,466,,,,160000,,343
,312,500.0,0.1,,466,,,,160000,,343
,316,500.0,0.1,,466,,,,160000,,343
,320,500.0,0.1,,466,,,,160000,,343
0.15740850567817688,324,500.0,0.0,0.0828862264752388,496,8334,-28.003095626831055,0.0003,170000,-45.244834899902344,342
,328,500.0,0.0,,496,,,,170000,,342
,332,500.0,0.0,,496,,,,170000,,342
,336,500.0,0.0,,496,,,,170000,,342
,340,500.0,0.0,,496,,,,170000,,342
0.2577381432056427,344,500.0,0.0,0.07161880284547806,524,8834,-29.70988655090332,0.0003,180000,-45.0739631652832,342
,348,500.0,0.0,,524,,,,180000,,342
,352,500.0,0.0,,524,,,,180000,,342
,356,500.0,0.0,,524,,,,180000,,342
,360,500.0,0.0,,524,,,,180000,,342
1.1055760383605957,364,500.0,0.0,0.06195441633462906,553,9334,-27.97507095336914,0.0003,190000,-44.39755630493164,343
,368,500.0,0.0,,553,,,,190000,,343
,372,500.0,0.0,,553,,,,190000,,343
,376,500.0,0.0,,553,,,,190000,,343
,380,500.0,0.0,,553,,,,190000,,343
15.250601768493652,384,500.0,0.0,0.05359692499041557,584,9834,-31.219968795776367,0.0003,200000,-42.9314079284668,342
,388,500.0,0.0,,584,,,,200000,,342
,392,500.0,0.0,,584,,,,200000,,342
,396,500.0,0.0,,584,,,,200000,,342
,400,500.0,0.0,,584,,,,200000,,342
2.1456055641174316,404,500.0,0.0,0.046353619545698166,615,10334,-29.892257690429688,0.0003,210000,-41.772254943847656,340
,408,500.0,0.0,,615,,,,210000,,340
,412,500.0,0.0,,615,,,,210000,,340
,416,500.0,0.0,,615,,,,210000,,340
,420,500.0,0.0,,615,,,,210000,,340
0.09842819720506668,424,500.0,0.0,0.04000270739197731,645,10834,-34.26776123046875,0.0003,220000,-41.28086853027344,341
,428,500.0,0.0,,645,,,,220000,,341
,432,500.0,0.0,,645,,,,220000,,341
,436,500.0,0.0,,645,,,,220000,,341
,440,500.0,0.0,,645,,,,220000,,341
0.10743537545204163,444,500.0,0.0,0.034616727381944656,674,11334,-34.72297668457031,0.0003,230000,-39.40049743652344,340
,448,500.0,0.0,,674,,,,230000,,340
,452,500.0,0.0,,674,,,,230000,,340
,456,500.0,0.0,,674,,,,230000,,340
,460,500.0,0.0,,674,,,,230000,,340
0.12071238458156586,464,500.0,0.0,0.03007625788450241,705,11834,-33.89350128173828,0.0003,240000,-39.334075927734375,340
,468,500.0,0.0,,705,,,,240000,,340
,472,500.0,0.0,,705,,,,240000,,340
,476,500.0,0.0,,705,,,,240000,,340
,480,500.0,0.0,,705,,,,240000,,340
0.09337557852268219,484,500.0,0.28,0.026053739711642265,735,12334,-35.01049041748047,0.0003,250000,-37.98358154296875,339
,488,500.0,0.28,,735,,,,250000,,339
,492,500.0,0.28,,735,,,,250000,,339
,496,500.0,0.28,,735,,,,250000,,339
,500,500.0,0.28,,735,,,,250000,,339
0.5443928241729736,504,500.0,0.28,0.02334900014102459,766,12834,-26.1420955657959,0.0003,260000,-36.38712692260742,339
,508,500.0,0.28,,766,,,,260000,,339
,512,500.0,0.28,,766,,,,260000,,339
,516,500.0,0.28,,766,,,,260000,,339
,520,500.0,0.28,,766,,,,260000,,339
0.18430787324905396,524,500.0,1.53,0.020268170163035393,798,13334,-36.44719696044922,0.0003,270000,-33.910213470458984,338
,528,500.0,1.53,,798,,,,270000,,338
,532,500.0,1.53,,798,,,,270000,,338
,536,500.0,1.53,,798,,,,270000,,338
,540,500.0,1.53,,798,,,,270000,,338
0.4234980344772339,544,500.0,1.53,0.017569318413734436,830,13834,-32.208072662353516,0.0003,280000,-34.84601593017578,336
,548,500.0,1.53,,830,,,,280000,,336
,552,500.0,1.53,,830,,,,280000,,336
,556,500.0,1.53,,830,,,,280000,,336
,560,500.0,1.53,,830,,,,280000,,336
9.163080215454102,564,500.0,1.53,0.015347215346992016,863,14334,-31.809537887573242,0.0003,290000,-33.9935302734375,335
,568,500.0,1.53,,863,,,,290000,,335
,572,500.0,1.53,,863,,,,290000,,335
,576,500.0,1.53,,863,,,,290000,,335
,580,500.0,1.53,,863,,,,290000,,335
0.13194826245307922,584,500.0,1.25,0.0133300656452775,893,14834,-35.34980010986328,0.0003,300000,-32.53947067260742,335
,588,500.0,1.25,,893,,,,300000,,335
,592,500.0,1.25,,893,,,,300000,,335
,596,500.0,1.25,,893,,,,300000,,335
,600,500.0,1.25,,893,,,,300000,,335
0.1180868148803711,604,500.0,1.25,0.011500092223286629,922,15334,-33.836273193359375,0.0003,310000,-31.280174255371094,336
,608,500.0,1.25,,922,,,,310000,,336
,612,500.0,1.25,,922,,,,310000,,336
,616,500.0,1.25,,922,,,,310000,,336
,620,500.0,1.25,,922,,,,310000,,336
0.283913254737854,624,500.0,0.0,0.009982562623918056,955,15834,-33.46605682373047,0.0003,320000,-31.175939559936523,334
,628,500.0,0.0,,955,,,,320000,,334
,632,500.0,0.0,,955,,,,320000,,334
,636,500.0,0.0,,955,,,,320000,,334
,640,500.0,0.0,,955,,,,320000,,334
0.09554436802864075,644,500.0,1.76,0.008685462176799774,984,16334,-37.172115325927734,0.0003,330000,-30.38979721069336,335
,648,500.0,1.76,,984,,,,330000,,335
,652,500.0,1.76,,984,,,,330000,,335
,656,500.0,1.76,,984,,,,330000,,335
,660,500.0,1.76,,984,,,,330000,,335
0.12222127616405487,664,500.0,1.76,0.007574525196105242,1013,16834,-25.54187774658203,0.0003,340000,-29.13555908203125,335
,668,500.0,1.76,,1013,,,,340000,,335
,672,500.0,1.76,,1013,,,,340000,,335
,676,500.0,1.76,,1013,,,,340000,,335
,680,500.0,1.76,,1013,,,,340000,,335
0.13151338696479797,684,500.0,1.76,0.006726178806275129,1043,17334,-8.871101379394531,0.0003,350000,-29.02613067626953,335
,688,500.0,1.76,,1043,,,,350000,,335
,692,500.0,1.76,,1043,,,,350000,,335
,696,500.0,1.76,,1043,,,,350000,,335
,700,500.0,1.76,,1043,,,,350000,,335
4.128811359405518,704,500.0,1.76,0.005991068203002214,1072,17834,-28.64703369140625,0.0003,360000,-27.45213508605957,335
,708,500.0,1.76,,1072,,,,360000,,335
,712,500.0,1.76,,1072,,,,360000,,335
,716,500.0,1.76,,1072,,,,360000,,335
,720,500.0,1.76,,1072,,,,360000,,335
7.084187030792236,724,500.0,1.76,0.0052521624602377415,1101,18334,-24.102161407470703,0.0003,370000,-27.102142333984375,335
,728,500.0,1.76,,1101,,,,370000,,335
,732,500.0,1.76,,1101,,,,370000,,335
,736,500.0,1.76,,1101,,,,370000,,335
,740,500.0,1.76,,1101,,,,370000,,335
0.07231476902961731,744,500.0,0.0,0.00473587354645133,1129,18834,-21.059907913208008,0.0003,380000,-25.906980514526367,336
,748,500.0,0.0,,1129,,,,380000,,336
,752,500.0,0.0,,1129,,,,380000,,336
,756,500.0,0.0,,1129,,,,380000,,336
,760,500.0,0.0,,1129,,,,380000,,336
0.07796532660722733,764,500.0,0.0,0.00422352459281683,1160,19334,-22.599557876586914,0.0003,390000,-25.604291915893555,336
,768,500.0,0.0,,1160,,,,390000,,336
,772,500.0,0.0,,1160,,,,390000,,336
,776,500.0,0.0,,1160,,,,390000,,336
,780,500.0,0.0,,1160,,,,390000,,336
0.15036819875240326,784,500.0,0.0,0.0037631765007972717,1189,19834,-17.918994903564453,0.0003,400000,-24.185089111328125,336
,788,500.0,0.0,,1189,,,,400000,,336
,792,500.0,0.0,,1189,,,,400000,,336
,796,500.0,0.0,,1189,,,,400000,,336
,800,500.0,0.0,,1189,,,,400000,,336
3.4044790267944336,804,500.0,0.0,0.0033797991927713156,1219,20334,-16.718833923339844,0.0003,410000,-24.247276306152344,336
,808,500.0,0.0,,1219,,,,410000,,336
,812,500.0,0.0,,1219,,,,410000,,336
,816,500.0,0.0,,1219,,,,410000,,336
,820,500.0,0.0,,1219,,,,410000,,336
0.08838066458702087,824,500.0,0.8,0.0033939932473003864,1251,20834,-12.067425727844238,0.0003,420000,-23.71544075012207,335
,828,500.0,0.8,,1251,,,,420000,,335
,832,500.0,0.8,,1251,,,,420000,,335
,836,500.0,0.8,,1251,,,,420000,,335
,840,500.0,0.8,,1251,,,,420000,,335
0.07392057031393051,844,500.0,0.8,0.003286497900262475,1285,21334,-0.3293724060058594,0.0003,430000,-22.99042510986328,334
,848,500.0,0.8,,1285,,,,430000,,334
,852,500.0,0.8,,1285,,,,430000,,334
,856,500.0,0.8,,1285,,,,430000,,334
,860,500.0,0.8,,1285,,,,430000,,334
1.7040189504623413,864,500.0,0.8,0.0030443312134593725,1319,21834,-15.237200736999512,0.0003,440000,-22.15654754638672,333
,868,500.0,0.8,,1319,,,,440000,,333
,872,500.0,0.8,,1319,,,,440000,,333
,876,500.0,0.8,,1319,,,,440000,,333
,880,500.0,0.8,,1319,,,,440000,,333
0.05493100360035896,884,500.0,0.8,0.0026993833016604185,1346,22334,-6.879515171051025,0.0003,450000,-20.978120803833008,334
,888,500.0,0.8,,1346,,,,450000,,334
,892,500.0,0.8,,1346,,,,450000,,334
,896,500.0,0.8,,1346,,,,450000,,334
,900,500.0,0.8,,1346,,,,450000,,334
0.7940607070922852,904,500.0,0.8,0.002513002371415496,1374,22834,-3.7451915740966797,0.0003,460000,-20.054040908813477,334
,908,500.0,0.8,,1374,,,,460000,,334
,912,500.0,0.8,,1374,,,,460000,,334
,916,500.0,0.8,,1374,,,,460000,,334
,920,500.0,0.8,,1374,,,,460000,,334
0.16748465597629547,924,500.0,0.0,0.002480149734765291,1405,23334,-2.5951406955718994,0.0003,470000,-18.93999671936035,334
,928,500.0,0.0,,1405,,,,470000,,334
,932,500.0,0.0,,1405,,,,470000,,334
,936,500.0,0.0,,1405,,,,470000,,334
,940,500.0,0.0,,1405,,,,470000,,334
2.6083261966705322,944,500.0,0.0,0.0023371262941509485,1436,23834,14.75554084777832,0.0003,480000,-18.95243263244629,334
,948,500.0,0.0,,1436,,,,480000,,334
,952,500.0,0.0,,1436,,,,480000,,334
,956,500.0,0.0,,1436,,,,480000,,334
,960,500.0,0.0,,1436,,,,480000,,334
4.585234642028809,964,500.0,0.0,0.002149922540411353,1468,24334,-9.281265258789062,0.0003,490000,-17.991077423095703,333
,968,500.0,0.0,,1468,,,,490000,,333
,972,500.0,0.0,,1468,,,,490000,,333
,976,500.0,0.0,,1468,,,,490000,,333
,980,500.0,0.0,,1468,,,,490000,,333
3.1385374069213867,984,500.0,0.0,0.0019619103986769915,1499,24834,-7.179046154022217,0.0003,500000,-16.440162658691406,333
,988,500.0,0.0,,1499,,,,500000,,333
,992,500.0,0.0,,1499,,,,500000,,333
,996,500.0,0.0,,1499,,,,500000,,333
,1000,500.0,0.0,,1499,,,,500000,,333
0.05036771297454834,1004,500.0,0.0,0.0018288278952240944,1530,25334,-8.520561218261719,0.0003,510000,-17.02464485168457,333
,1008,500.0,0.0,,1530,,,,510000,,333
,1012,500.0,0.0,,1530,,,,510000,,333
,1016,500.0,0.0,,1530,,,,510000,,333
,1020,500.0,0.0,,1530,,,,510000,,333
2.3002541065216064,1024,500.0,0.0,0.0016990775475278497,1562,25834,-0.07062888145446777,0.0003,520000,-15.782258987426758,332
,1028,500.0,0.0,,1562,,,,520000,,332
,1032,500.0,0.0,,1562,,,,520000,,332
,1036,500.0,0.0,,1562,,,,520000,,332
,1040,500.0,0.0,,1562,,,,520000,,332
0.0660000815987587,1044,500.0,0.0,0.0016305427998304367,1591,26334,-2.2218008041381836,0.0003,530000,-15.306682586669922,333
,1048,500.0,0.0,,1591,,,,530000,,333
,1052,500.0,0.0,,1591,,,,530000,,333
,1056,500.0,0.0,,1591,,,,530000,,333
,1060,500.0,0.0,,1591,,,,530000,,333
2.8026797771453857,1064,500.0,0.0,0.0015181475318968296,1619,26834,-7.802075386047363,0.0003,540000,-15.47839641571045,333
,1068,500.0,0.0,,1619,,,,540000,,333
,1072,500.0,0.0,,1619,,,,540000,,333
,1076,500.0,0.0,,1619,,,,540000,,333
,1080,500.0,0.0,,1619,,,,540000,,333
0.03278499096632004,1084,500.0,0.0,0.001397660467773676,1647,27334,-6.787607192993164,0.0003,550000,-15.44066047668457,333
,1088,500.0,0.0,,1647,,,,550000,,333
,1092,500.0,0.0,,1647,,,,550000,,333
,1096,500.0,0.0,,1647,,,,550000,,333
,1100,500.0,0.0,,1647,,,,550000,,333
0.027058294042944908,1104,500.0,0.0,0.0013221694389358163,1676,27834,-5.093926906585693,0.0003,560000,-14.887710571289062,334
,1108,500.0,0.0,,1676,,,,560000,,334
,1112,500.0,0.0,,1676,,,,560000,,334
,1116,500.0,0.0,,1676,,,,560000,,334
,1120,500.0,0.0,,1676,,,,560000,,334
0.0461631640791893,1124,500.0,0.0,0.0012250473955646157,1704,28334,-4.012447834014893,0.0003,570000,-14.193628311157227,334
,1128,500.0,0.0,,1704,,,,570000,,334
,1132,500.0,0.0,,1704,,,,570000,,334
,1136,500.0,0.0,,1704,,,,570000,,334
,1140,500.0,0.0,,1704,,,,570000,,334
0.11018212139606476,1144,500.0,0.0,0.0011733125429600477,1731,28834,2.7347540855407715,0.0003,580000,-14.010602951049805,334
,1148,500.0,0.0,,1731,,,,580000,,334
,1152,500.0,0.0,,1731,,,,580000,,334
,1156,500.0,0.0,,1731,,,,580000,,334
,1160,500.0,0.0,,1731,,,,580000,,334
0.030996102839708328,1164,500.0,0.0,0.0011396280024200678,1761,29334,-4.596586227416992,0.0003,590000,-13.833858489990234,334
,1168,500.0,0.0,,1761,,,,590000,,334
,1172,500.0,0.0,,1761,,,,590000,,334
,1176,500.0,0.0,,1761,,,,590000,,334
,1180,500.0,0.0,,1761,,,,590000,,334
0.02267957478761673,1184,500.0,0.0,0.0011292825220152736,1791,29834,-0.6508083343505859,0.0003,600000,-13.764363288879395,334
,1188,500.0,0.0,,1791,,,,600000,,334
,1192,500.0,0.0,,1791,,,,600000,,334
,1196,500.0,0.0,,1791,,,,600000,,334
,1200,500.0,0.0,,1791,,,,600000,,334
0.06706462800502777,1204,500.0,0.0,0.0010821949690580368,1822,30334,0.851129412651062,0.0003,610000,-12.916915893554688,334
,1208,500.0,0.0,,1822,,,,610000,,334
,1212,500.0,0.0,,1822,,,,610000,,334
,1216,500.0,0.0,,1822,,,,610000,,334
,1220,500.0,0.0,,1822,,,,610000,,334
0.16809619963169098,1224,500.0,0.0,0.001077648950740695,1851,30834,4.260164260864258,0.0003,620000,-12.75167179107666,334
,1228,500.0,0.0,,1851,,,,620000,,334
,1232,500.0,0.0,,1851,,,,620000,,334
,1236,500.0,0.0,,1851,,,,620000,,334
,1240,500.0,0.0,,1851,,,,620000,,334
0.029492177069187164,1244,500.0,0.0,0.0010611717589199543,1880,31334,0.8594487905502319,0.0003,630000,-12.33862590789795,335
,1248,500.0,0.0,,1880,,,,630000,,335
,1252,500.0,0.0,,1880,,,,630000,,335
,1256,500.0,0.0,,1880,,,,630000,,335
,1260,500.0,0.0,,1880,,,,630000,,335
0.026809541508555412,1264,500.0,0.0,0.0010405421489849687,1909,31834,0.613884449005127,0.0003,640000,-12.44836711883545,335
,1268,500.0,0.0,,1909,,,,640000,,335
,1272,500.0,0.0,,1909,,,,640000,,335
,1276,500.0,0.0,,1909,,,,640000,,335
,1280,500.0,0.0,,1909,,,,640000,,335
0.023192670196294785,1284,500.0,2.72,0.0012130687246099114,1939,32334,11.596637725830078,0.0003,650000,-12.731029510498047,335
,1288,500.0,2.72,,1939,,,,650000,,335
,1292,500.0,2.72,,1939,,,,650000,,335
,1296,500.0,2.72,,1939,,,,650000,,335
,1300,500.0,2.72,,1939,,,,650000,,335
0.030070163309574127,1304,500.0,2.72,0.0013063164660707116,1969,32834,-2.45505952835083,0.0003,660000,-11.423990249633789,335
,1308,500.0,2.72,,1969,,,,660000,,335
,1312,500.0,2.72,,1969,,,,660000,,335
,1316,500.0,2.72,,1969,,,,660000,,335
,1320,500.0,2.72,,1969,,,,660000,,335
0.039035845547914505,1324,500.0,2.72,0.0012010429054498672,1997,33334,-7.774922847747803,0.0003,670000,-11.714641571044922,335
,1328,500.0,2.72,,1997,,,,670000,,335
,1332,500.0,2.72,,1997,,,,670000,,335
,1336,500.0,2.72,,1997,,,,670000,,335
,1340,500.0,2.72,,1997,,,,670000,,335
0.8939946293830872,1344,500.0,2.72,0.001105399918742478,2024,33834,-2.0530471801757812,0.0003,680000,-11.004593849182129,335
,1348,500.0,2.72,,2024,,,,680000,,335
,1352,500.0,2.72,,2024,,,,680000,,335
,1356,500.0,2.72,,2024,,,,680000,,335
,1360,500.0,2.72,,2024,,,,680000,,335
0.016353392973542213,1364,500.0,2.72,0.0010281072463840246,2052,34334,-10.794771194458008,0.0003,690000,-11.242048263549805,336
,1368,500.0,2.72,,2052,,,,690000,,336
,1372,500.0,2.72,,2052,,,,690000,,336
,1376,500.0,2.72,,2052,,,,690000,,336
,1380,500.0,2.72,,2052,,,,690000,,336
0.02911105938255787,1384,500.0,0.0,0.001006714766845107,2083,34834,4.232921123504639,0.0003,700000,-10.504262924194336,335
,1388,500.0,0.0,,2083,,,,700000,,335
,1392,500.0,0.0,,2083,,,,700000,,335
,1396,500.0,0.0,,2083,,,,700000,,335
,1400,500.0,0.0,,2083,,,,700000,,335
0.027339670807123184,1404,500.0,0.0,0.0009446726180613041,2111,35334,-2.465273380279541,0.0003,710000,-10.291444778442383,336
,1408,500.0,0.0,,2111,,,,710000,,336
,1412,500.0,0.0,,2111,,,,710000,,336
,1416,500.0,0.0,,2111,,,,710000,,336
,1420,500.0,0.0,,2111,,,,710000,,336
0.018134694546461105,1424,500.0,0.0,0.000908933870960027,2140,35834,-3.7622008323669434,0.0003,720000,-10.09579086303711,336
,1428,500.0,0.0,,2140,,,,720000,,336
,1432,500.0,0.0,,2140,,,,720000,,336
,1436,500.0,0.0,,2140,,,,720000,,336
,1440,500.0,0.0,,2140,,,,720000,,336
0.014230331405997276,1444,500.0,0.0,0.0008842331008054316,2167,36334,-10.16773796081543,0.0003,730000,-10.117280960083008,336
,1448,500.0,0.0,,2167,,,,730000,,336
,1452,500.0,0.0,,2167,,,,730000,,336
,1456,500.0,0.0,,2167,,,,730000,,336
,1460,500.0,0.0,,2167,,,,730000,,336
0.21722736954689026,1464,500.0,0.0,0.0009737052023410797,2197,36834,-2.1477887630462646,0.0003,740000,-9.322521209716797,336
,1468,500.0,0.0,,2197,,,,740000,,336
,1472,500.0,0.0,,2197,,,,740000,,336
,1476,500.0,0.0,,2197,,,,740000,,336
,1480,500.0,0.0,,2197,,,,740000,,336
0.10619394481182098,1484,500.0,0.0,0.0009737627697177231,2224,37334,7.233667373657227,0.0003,750000,-9.268899917602539,337
,1488,500.0,0.0,,2224,,,,750000,,337
,1492,500.0,0.0,,2224,,,,750000,,337
,1496,500.0,0.0,,2224,,,,750000,,337
,1500,500.0,0.0,,2224,,,,750000,,337
0.03383965045213699,1504,500.0,0.13,0.0009753571357578039,2253,37834,-4.879539489746094,0.0003,760000,-8.880142211914062,337
,1508,500.0,0.13,,2253,,,,760000,,337
,1512,500.0,0.13,,2253,,,,760000,,337
,1516,500.0,0.13,,2253,,,,760000,,337
,1520,500.0,0.13,,2253,,,,760000,,337
0.016079839318990707,1524,500.0,0.13,0.0009564811480231583,2282,38334,-4.805149078369141,0.0003,770000,-8.694897651672363,337
,1528,500.0,0.13,,2282,,,,770000,,337
,1532,500.0,0.13,,2282,,,,770000,,337
,1536,500.0,0.13,,2282,,,,770000,,337
,1540,500.0,0.13,,2282,,,,770000,,337
0.15368065237998962,1544,500.0,0.13,0.001012074644677341,2312,38834,-11.267637252807617,0.0003,780000,-8.725313186645508,337
,1548,500.0,0.13,,2312,,,,780000,,337
,1552,500.0,0.13,,2312,,,,780000,,337
,1556,500.0,0.13,,2312,,,,780000,,337
,1560,500.0,0.13,,2312,,,,780000,,337
0.03079213574528694,1564,500.0,0.13,0.0010551165323704481,2342,39334,-6.164978981018066,0.0003,790000,-8.104103088378906,337
,1568,500.0,0.13,,2342,,,,790000,,337
,1572,500.0,0.13,,2342,,,,790000,,337
,1576,500.0,0.13,,2342,,,,790000,,337
,1580,500.0,0.13,,2342,,,,790000,,337
0.03664068877696991,1584,500.0,0.13,0.0011942373821511865,2370,39834,-2.355919361114502,0.0003,800000,-7.8726396560668945,337
,1588,500.0,0.13,,2370,,,,800000,,337
,1592,500.0,0.13,,2370,,,,800000,,337
,1596,500.0,0.13,,2370,,,,800000,,337
,1600,500.0,0.13,,2370,,,,800000,,337
0.014802547171711922,1604,500.0,0.0,0.0012081976747140288,2398,40334,0.9129956960678101,0.0003,810000,-7.874724388122559,337
,1608,500.0,0.0,,2398,,,,810000,,337
,1612,500.0,0.0,,2398,,,,810000,,337
,1616,500.0,0.0,,2398,,,,810000,,337
,1620,500.0,0.0,,2398,,,,810000,,337
0.0688345804810524,1624,500.0,7.83,0.0014135206583887339,2430,40834,33.45109558105469,0.0003,820000,-6.417738437652588,337
,1628,500.0,7.83,,2430,,,,820000,,337
,1632,500.0,7.83,,2430,,,,820000,,337
,1636,500.0,7.83,,2430,,,,820000,,337
,1640,500.0,7.83,,2430,,,,820000,,337
0.09921931475400925,1644,500.0,7.83,0.0016000951873138547,2461,41334,19.9244384765625,0.0003,830000,-6.128591537475586,337
,1648,500.0,7.83,,2461,,,,830000,,337
,1652,500.0,7.83,,2461,,,,830000,,337
,1656,500.0,7.83,,2461,,,,830000,,337
,1660,500.0,7.83,,2461,,,,830000,,337
0.12748706340789795,1664,500.0,7.83,0.001748006441630423,2492,41834,14.673925399780273,0.0003,840000,-5.799309730529785,337
,1668,500.0,7.83,,2492,,,,840000,,337
,1672,500.0,7.83,,2492,,,,840000,,337
,1676,500.0,7.83,,2492,,,,840000,,337
,1680,500.0,7.83,,2492,,,,840000,,337
0.1517806351184845,1684,500.0,7.83,0.0017783981747925282,2523,42334,-3.067999839782715,0.0003,850000,-5.687734603881836,336
,1688,500.0,7.83,,2523,,,,850000,,336
,1692,500.0,7.83,,2523,,,,850000,,336
,1696,500.0,7.83,,2523,,,,850000,,336
,1700,500.0,7.83,,2523,,,,850000,,336
0.37936490774154663,1704,500.0,7.83,0.0019152284367009997,2555,42834,34.07054901123047,0.0003,860000,-4.956726551055908,336
,1708,500.0,7.83,,2555,,,,860000,,336
,1712,500.0,7.83,,2555,,,,860000,,336
,1716,500.0,7.83,,2555,,,,860000,,336
,1720,500.0,7.83,,2555,,,,860000,,336
0.8977704048156738,1724,500.0,0.0,0.0020072818733751774,2586,43334,13.538298606872559,0.0003,870000,-4.706162452697754,336
,1728,500.0,0.0,,2586,,,,870000,,336
,1732,500.0,0.0,,2586,,,,870000,,336
,1736,500.0,0.0,,2586,,,,870000,,336
,1740,500.0,0.0,,2586,,,,870000,,336
