time/episodes,time/time_elapsed,train/learning_rate,time/fps,train/critic_loss,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,train/actor_loss,train/ent_coef
192,249,,401,,0.0,,500.0,,100000,,
196,249,,401,,0.0,,500.0,,100000,,
200,249,,401,,0.0,,500.0,,100000,,
204,274,0.00075,401,0.029224319383502007,0.0,5334,500.0,-38.48084259033203,110000,-20.87493896484375,0.01930513046681881
208,274,,401,,0.0,,500.0,,110000,,
212,274,,401,,0.0,,500.0,,110000,,
216,274,,401,,0.0,,500.0,,110000,,
220,274,,401,,0.0,,500.0,,110000,,
224,299,0.00075,400,0.14683403074741364,0.0,5834,500.0,-41.26419448852539,120000,-20.77216339111328,0.013796195387840271
228,299,,400,,0.0,,500.0,,120000,,
232,299,,400,,0.0,,500.0,,120000,,
236,299,,400,,0.0,,500.0,,120000,,
240,299,,400,,0.0,,500.0,,120000,,
244,324,0.00075,400,0.09729117900133133,0.0,6334,500.0,-25.934213638305664,130000,-19.66246223449707,0.010023037903010845
248,324,,400,,0.0,,500.0,,130000,,
252,324,,400,,0.0,,500.0,,130000,,
256,324,,400,,0.0,,500.0,,130000,,
260,324,,400,,0.0,,500.0,,130000,,
264,349,0.00075,400,0.041098453104496,0.0,6834,500.0,-18.392288208007812,140000,-19.225616455078125,0.007681053597480059
268,349,,400,,0.0,,500.0,,140000,,
272,349,,400,,0.0,,500.0,,140000,,
276,349,,400,,0.0,,500.0,,140000,,
280,349,,400,,0.0,,500.0,,140000,,
284,374,0.00075,400,0.03361237049102783,0.0,7334,500.0,-33.87190246582031,150000,-18.550079345703125,0.005988732445985079
288,374,,400,,0.0,,500.0,,150000,,
292,374,,400,,0.0,,500.0,,150000,,
296,374,,400,,0.0,,500.0,,150000,,
300,374,,400,,0.0,,500.0,,150000,,
304,400,0.00075,399,0.036638446152210236,0.0,7834,500.0,-15.46133804321289,160000,-17.986793518066406,0.004787735641002655
308,400,,399,,0.0,,500.0,,160000,,
312,400,,399,,0.0,,500.0,,160000,,
316,400,,399,,0.0,,500.0,,160000,,
320,400,,399,,0.0,,500.0,,160000,,
324,426,0.00075,398,0.01877213642001152,0.0,8334,500.0,-20.74554443359375,170000,-17.73322296142578,0.0038273786194622517
328,426,,398,,0.0,,500.0,,170000,,
332,426,,398,,0.0,,500.0,,170000,,
336,426,,398,,0.0,,500.0,,170000,,
340,426,,398,,0.0,,500.0,,170000,,
344,452,0.00075,397,0.015717867761850357,0.0,8834,500.0,-2.262843608856201,180000,-17.202112197875977,0.003326673526316881
348,452,,397,,0.0,,500.0,,180000,,
352,452,,397,,0.0,,500.0,,180000,,
356,452,,397,,0.0,,500.0,,180000,,
360,452,,397,,0.0,,500.0,,180000,,
364,477,0.00075,397,0.019715899601578712,0.0,9334,500.0,-10.463874816894531,190000,-16.71941375732422,0.003069220343604684
368,477,,397,,0.0,,500.0,,190000,,
372,477,,397,,0.0,,500.0,,190000,,
376,477,,397,,0.0,,500.0,,190000,,
380,477,,397,,0.0,,500.0,,190000,,
384,503,0.00075,397,0.024120518937706947,0.0,9834,500.0,2.3416566848754883,200000,-16.018543243408203,0.002871226752176881
388,503,,397,,0.0,,500.0,,200000,,
392,503,,397,,0.0,,500.0,,200000,,
396,503,,397,,0.0,,500.0,,200000,,
400,503,,397,,0.0,,500.0,,200000,,
404,529,0.00075,396,0.018958719447255135,0.0,10334,500.0,-14.997040748596191,210000,-16.54667854309082,0.0026732829865068197
408,529,,396,,0.0,,500.0,,210000,,
412,529,,396,,0.0,,500.0,,210000,,
416,529,,396,,0.0,,500.0,,210000,,
420,529,,396,,0.0,,500.0,,210000,,
424,555,0.00075,396,0.019969968125224113,0.0,10834,500.0,9.597883224487305,220000,-15.685772895812988,0.002616613870486617
428,555,,396,,0.0,,500.0,,220000,,
432,555,,396,,0.0,,500.0,,220000,,
436,555,,396,,0.0,,500.0,,220000,,
440,555,,396,,0.0,,500.0,,220000,,
444,582,0.00075,394,1.8414318561553955,2.08,11334,500.0,6.416131973266602,230000,-15.39816665649414,0.0028764985036104918
448,582,,394,,2.08,,500.0,,230000,,
452,582,,394,,2.08,,500.0,,230000,,
456,582,,394,,2.08,,500.0,,230000,,
460,582,,394,,2.08,,500.0,,230000,,
464,608,0.00075,394,0.033857978880405426,2.08,11834,500.0,-9.916816711425781,240000,-15.182038307189941,0.0029337555170059204
468,608,,394,,2.08,,500.0,,240000,,
472,608,,394,,2.08,,500.0,,240000,,
476,608,,394,,2.08,,500.0,,240000,,
480,608,,394,,2.08,,500.0,,240000,,
484,635,0.00075,393,0.014411450363695621,2.08,12334,500.0,-0.3884820342063904,250000,-14.778639793395996,0.0026206171605736017
488,635,,393,,2.08,,500.0,,250000,,
492,635,,393,,2.08,,500.0,,250000,,
496,635,,393,,2.08,,500.0,,250000,,
500,635,,393,,2.08,,500.0,,250000,,
504,661,0.00075,392,0.04770785942673683,2.08,12834,500.0,1.5337220430374146,260000,-14.532875061035156,0.0025479078758507967
508,661,,392,,2.08,,500.0,,260000,,
512,661,,392,,2.08,,500.0,,260000,,
516,661,,392,,2.08,,500.0,,260000,,
520,661,,392,,2.08,,500.0,,260000,,
524,686,0.00075,393,0.05494007095694542,2.08,13334,500.0,1.9290649890899658,270000,-14.059329986572266,0.0025916609447449446
528,686,,393,,2.08,,500.0,,270000,,
532,686,,393,,2.08,,500.0,,270000,,
536,686,,393,,2.08,,500.0,,270000,,
540,686,,393,,2.08,,500.0,,270000,,
544,713,0.00075,392,0.024699009954929352,0.0,13834,500.0,8.485250473022461,280000,-14.112506866455078,0.0026706084609031677
548,713,,392,,0.0,,500.0,,280000,,
552,713,,392,,0.0,,500.0,,280000,,
556,713,,392,,0.0,,500.0,,280000,,
560,713,,392,,0.0,,500.0,,280000,,
564,739,0.00075,392,0.023349076509475708,0.22,14334,500.0,9.643411636352539,290000,-13.324870109558105,0.0026029187720268965
568,739,,392,,0.22,,500.0,,290000,,
572,739,,392,,0.22,,500.0,,290000,,
576,739,,392,,0.22,,500.0,,290000,,
580,739,,392,,0.22,,500.0,,290000,,
584,766,0.00075,391,0.019917618483304977,0.22,14834,500.0,-3.1045444011688232,300000,-13.428117752075195,0.0024563975166529417
588,766,,391,,0.22,,500.0,,300000,,
592,766,,391,,0.22,,500.0,,300000,,
596,766,,391,,0.22,,500.0,,300000,,
600,766,,391,,0.22,,500.0,,300000,,
604,791,0.00075,391,0.018255166709423065,0.22,15334,500.0,5.14861536026001,310000,-13.14969253540039,0.002334467601031065
608,791,,391,,0.22,,500.0,,310000,,
612,791,,391,,0.22,,500.0,,310000,,
616,791,,391,,0.22,,500.0,,310000,,
620,791,,391,,0.22,,500.0,,310000,,
624,816,0.00075,391,0.02369728684425354,1.26,15834,500.0,-6.625270366668701,320000,-12.782281875610352,0.0024191036354750395
628,816,,391,,1.26,,500.0,,320000,,
632,816,,391,,1.26,,500.0,,320000,,
636,816,,391,,1.26,,500.0,,320000,,
640,816,,391,,1.26,,500.0,,320000,,
644,840,0.00075,392,0.012668388895690441,1.26,16334,500.0,7.282700538635254,330000,-12.501529693603516,0.0021577710285782814
648,840,,392,,1.26,,500.0,,330000,,
652,840,,392,,1.26,,500.0,,330000,,
656,840,,392,,1.26,,500.0,,330000,,
660,840,,392,,1.26,,500.0,,330000,,
664,866,0.00075,392,0.015665322542190552,1.04,16834,500.0,0.10348963737487793,340000,-12.228361129760742,0.002133204834535718
668,866,,392,,1.04,,500.0,,340000,,
672,866,,392,,1.04,,500.0,,340000,,
676,866,,392,,1.04,,500.0,,340000,,
680,866,,392,,1.04,,500.0,,340000,,
684,892,0.00075,392,0.01963525079190731,1.04,17334,500.0,-1.777106761932373,350000,-11.891559600830078,0.002053227974101901
688,892,,392,,1.04,,500.0,,350000,,
692,892,,392,,1.04,,500.0,,350000,,
696,892,,392,,1.04,,500.0,,350000,,
700,892,,392,,1.04,,500.0,,350000,,
704,918,0.00075,392,0.0399995893239975,1.04,17834,500.0,1.500073790550232,360000,-11.790760040283203,0.0019050464034080505
708,918,,392,,1.04,,500.0,,360000,,
712,918,,392,,1.04,,500.0,,360000,,
716,918,,392,,1.04,,500.0,,360000,,
720,918,,392,,1.04,,500.0,,360000,,
724,944,0.00075,391,1.1576824188232422,0.0,18334,500.0,2.8761417865753174,370000,-11.416755676269531,0.0017868055729195476
728,944,,391,,0.0,,500.0,,370000,,
732,944,,391,,0.0,,500.0,,370000,,
736,944,,391,,0.0,,500.0,,370000,,
740,944,,391,,0.0,,500.0,,370000,,
744,969,0.00075,391,0.02880452387034893,0.0,18834,500.0,3.0902762413024902,380000,-11.312540054321289,0.0019740296993404627
748,969,,391,,0.0,,500.0,,380000,,
752,969,,391,,0.0,,500.0,,380000,,
756,969,,391,,0.0,,500.0,,380000,,
760,969,,391,,0.0,,500.0,,380000,,
764,995,0.00075,391,0.019251465797424316,0.0,19334,500.0,-10.032388687133789,390000,-10.984546661376953,0.0017535847146064043
768,995,,391,,0.0,,500.0,,390000,,
772,995,,391,,0.0,,500.0,,390000,,
776,995,,391,,0.0,,500.0,,390000,,
780,995,,391,,0.0,,500.0,,390000,,
784,1021,0.00075,391,0.007548276335000992,0.0,19834,500.0,-3.6560158729553223,400000,-10.828088760375977,0.001798983896151185
788,1021,,391,,0.0,,500.0,,400000,,
792,1021,,391,,0.0,,500.0,,400000,,
796,1021,,391,,0.0,,500.0,,400000,,
800,1021,,391,,0.0,,500.0,,400000,,
804,1047,0.00075,391,0.012157578021287918,0.0,20334,500.0,3.4610657691955566,410000,-10.538130760192871,0.0018373572966083884
808,1047,,391,,0.0,,500.0,,410000,,
812,1047,,391,,0.0,,500.0,,410000,,
816,1047,,391,,0.0,,500.0,,410000,,
820,1047,,391,,0.0,,500.0,,410000,,
824,1074,0.00075,390,1.010385513305664,0.0,20834,500.0,-4.866270065307617,420000,-10.233146667480469,0.0017948694294318557
828,1074,,390,,0.0,,500.0,,420000,,
832,1074,,390,,0.0,,500.0,,420000,,
836,1074,,390,,0.0,,500.0,,420000,,
840,1074,,390,,0.0,,500.0,,420000,,
844,1100,0.00075,390,0.005804233718663454,0.0,21334,500.0,0.24554657936096191,430000,-10.10971450805664,0.0016811983659863472
848,1100,,390,,0.0,,500.0,,430000,,
852,1100,,390,,0.0,,500.0,,430000,,
856,1100,,390,,0.0,,500.0,,430000,,
860,1100,,390,,0.0,,500.0,,430000,,
864,1125,0.00075,391,0.013685507699847221,0.0,21834,500.0,-5.673646926879883,440000,-9.65869140625,0.001697801984846592
868,1125,,391,,0.0,,500.0,,440000,,
872,1125,,391,,0.0,,500.0,,440000,,
876,1125,,391,,0.0,,500.0,,440000,,
880,1125,,391,,0.0,,500.0,,440000,,
884,1151,0.00075,390,0.017420973628759384,0.0,22334,500.0,-3.606626272201538,450000,-9.464531898498535,0.001577391172759235
888,1151,,390,,0.0,,500.0,,450000,,
892,1151,,390,,0.0,,500.0,,450000,,
896,1151,,390,,0.0,,500.0,,450000,,
900,1151,,390,,0.0,,500.0,,450000,,
904,1176,0.00075,390,0.016617972403764725,0.0,22834,500.0,-0.49161064624786377,460000,-9.560274124145508,0.0015592786949127913
908,1176,,390,,0.0,,500.0,,460000,,
912,1176,,390,,0.0,,500.0,,460000,,
916,1176,,390,,0.0,,500.0,,460000,,
920,1176,,390,,0.0,,500.0,,460000,,
924,1202,0.00075,390,0.4731767177581787,0.0,23334,500.0,2.1778712272644043,470000,-9.097537994384766,0.001672937534749508
928,1202,,390,,0.0,,500.0,,470000,,
932,1202,,390,,0.0,,500.0,,470000,,
936,1202,,390,,0.0,,500.0,,470000,,
940,1202,,390,,0.0,,500.0,,470000,,
944,1228,0.00075,390,0.9751042127609253,0.0,23834,500.0,-1.6706464290618896,480000,-8.845115661621094,0.0017212177626788616
948,1228,,390,,0.0,,500.0,,480000,,
952,1228,,390,,0.0,,500.0,,480000,,
956,1228,,390,,0.0,,500.0,,480000,,
960,1228,,390,,0.0,,500.0,,480000,,
964,1253,0.00075,390,0.018662210553884506,0.0,24334,500.0,0.388629674911499,490000,-8.83222770690918,0.0018089484656229615
968,1253,,390,,0.0,,500.0,,490000,,
972,1253,,390,,0.0,,500.0,,490000,,
976,1253,,390,,0.0,,500.0,,490000,,
980,1253,,390,,0.0,,500.0,,490000,,
984,1278,0.00075,391,0.533119797706604,0.0,24834,500.0,-11.128496170043945,500000,-8.593070030212402,0.0016195025527849793
988,1278,,391,,0.0,,500.0,,500000,,
992,1278,,391,,0.0,,500.0,,500000,,
996,1278,,391,,0.0,,500.0,,500000,,
1000,1278,,391,,0.0,,500.0,,500000,,
1004,1303,0.00075,391,0.008478333242237568,0.0,25334,500.0,6.431185722351074,510000,-8.381216049194336,0.0016016853041946888
1008,1303,,391,,0.0,,500.0,,510000,,
1012,1303,,391,,0.0,,500.0,,510000,,
1016,1303,,391,,0.0,,500.0,,510000,,
1020,1303,,391,,0.0,,500.0,,510000,,
1024,1328,0.00075,391,0.010364043526351452,0.0,25834,500.0,-6.453361511230469,520000,-8.476140022277832,0.0016302737640216947
1028,1328,,391,,0.0,,500.0,,520000,,
1032,1328,,391,,0.0,,500.0,,520000,,
1036,1328,,391,,0.0,,500.0,,520000,,
1040,1328,,391,,0.0,,500.0,,520000,,
1044,1353,0.00075,391,0.02094016969203949,0.0,26334,500.0,-0.4392268657684326,530000,-8.112229347229004,0.0015339006204158068
1048,1353,,391,,0.0,,500.0,,530000,,
1052,1353,,391,,0.0,,500.0,,530000,,
1056,1353,,391,,0.0,,500.0,,530000,,
1060,1353,,391,,0.0,,500.0,,530000,,
1064,1378,0.00075,391,0.006087464280426502,0.0,26834,500.0,-0.2998056411743164,540000,-7.9562835693359375,0.0013133818283677101
1068,1378,,391,,0.0,,500.0,,540000,,
1072,1378,,391,,0.0,,500.0,,540000,,
1076,1378,,391,,0.0,,500.0,,540000,,
1080,1378,,391,,0.0,,500.0,,540000,,
1084,1404,0.00075,391,0.005698765628039837,0.0,27334,500.0,9.161750793457031,550000,-7.6787614822387695,0.0014257378643378615
1088,1404,,391,,0.0,,500.0,,550000,,
1092,1404,,391,,0.0,,500.0,,550000,,
1096,1404,,391,,0.0,,500.0,,550000,,
1100,1404,,391,,0.0,,500.0,,550000,,
1104,1429,0.00075,391,0.010077144019305706,0.0,27834,500.0,-6.596210956573486,560000,-7.555129051208496,0.0013047452084720135
1108,1429,,391,,0.0,,500.0,,560000,,
1112,1429,,391,,0.0,,500.0,,560000,,
1116,1429,,391,,0.0,,500.0,,560000,,
1120,1429,,391,,0.0,,500.0,,560000,,
1124,1454,0.00075,391,0.011760612018406391,0.0,28334,500.0,1.7718009948730469,570000,-7.433150291442871,0.0014854561304673553
1128,1454,,391,,0.0,,500.0,,570000,,
1132,1454,,391,,0.0,,500.0,,570000,,
1136,1454,,391,,0.0,,500.0,,570000,,
1140,1454,,391,,0.0,,500.0,,570000,,
1144,1480,0.00075,391,0.009709930047392845,0.0,28834,500.0,-1.3796641826629639,580000,-7.2304487228393555,0.001309251761995256
1148,1480,,391,,0.0,,500.0,,580000,,
1152,1480,,391,,0.0,,500.0,,580000,,
1156,1480,,391,,0.0,,500.0,,580000,,
1160,1480,,391,,0.0,,500.0,,580000,,
1164,1505,0.00075,391,0.5843980312347412,0.0,29334,500.0,-5.202406883239746,590000,-6.980749130249023,0.0014394046738743782
1168,1505,,391,,0.0,,500.0,,590000,,
1172,1505,,391,,0.0,,500.0,,590000,,
1176,1505,,391,,0.0,,500.0,,590000,,
1180,1505,,391,,0.0,,500.0,,590000,,
1184,1531,0.00075,391,0.006318521685898304,0.0,29834,500.0,-2.178384304046631,600000,-6.783181667327881,0.001266205683350563
1188,1531,,391,,0.0,,500.0,,600000,,
1192,1531,,391,,0.0,,500.0,,600000,,
1196,1531,,391,,0.0,,500.0,,600000,,
1200,1531,,391,,0.0,,500.0,,600000,,
1204,1557,0.00075,391,0.008237131871283054,0.0,30334,500.0,12.66396713256836,610000,-6.82199764251709,0.0011251725954934955
1208,1557,,391,,0.0,,500.0,,610000,,
1212,1557,,391,,0.0,,500.0,,610000,,
1216,1557,,391,,0.0,,500.0,,610000,,
1220,1557,,391,,0.0,,500.0,,610000,,
1224,1581,0.00075,391,0.00513383699581027,0.0,30834,500.0,8.644344329833984,620000,-6.590167999267578,0.0010382489999756217
1228,1581,,391,,0.0,,500.0,,620000,,
1232,1581,,391,,0.0,,500.0,,620000,,
1236,1581,,391,,0.0,,500.0,,620000,,
1240,1581,,391,,0.0,,500.0,,620000,,
1244,1608,0.00075,391,0.004566020332276821,0.0,31334,500.0,-5.569719314575195,630000,-6.361907482147217,0.0011604733299463987
1248,1608,,391,,0.0,,500.0,,630000,,
1252,1608,,391,,0.0,,500.0,,630000,,
1256,1608,,391,,0.0,,500.0,,630000,,
1260,1608,,391,,0.0,,500.0,,630000,,
1264,1633,0.00075,391,0.00705607607960701,0.0,31834,500.0,-2.907222270965576,640000,-6.357067584991455,0.0010466959793120623
1268,1633,,391,,0.0,,500.0,,640000,,
1272,1633,,391,,0.0,,500.0,,640000,,
1276,1633,,391,,0.0,,500.0,,640000,,
1280,1633,,391,,0.0,,500.0,,640000,,
1284,1659,0.00075,391,0.005551187787204981,0.0,32334,500.0,19.588497161865234,650000,-6.052768230438232,0.0010211936896666884
1288,1659,,391,,0.0,,500.0,,650000,,
1292,1659,,391,,0.0,,500.0,,650000,,
1296,1659,,391,,0.0,,500.0,,650000,,
1300,1659,,391,,0.0,,500.0,,650000,,
1304,1685,0.00075,391,0.004962165839970112,0.0,32834,500.0,6.6608357429504395,660000,-5.797025680541992,0.0010053752921521664
1308,1685,,391,,0.0,,500.0,,660000,,
1312,1685,,391,,0.0,,500.0,,660000,,
1316,1685,,391,,0.0,,500.0,,660000,,
1320,1685,,391,,0.0,,500.0,,660000,,
1324,1710,0.00075,391,0.010061420500278473,0.0,33334,500.0,0.8263309001922607,670000,-6.0981125831604,0.0010962842497974634
1328,1710,,391,,0.0,,500.0,,670000,,
1332,1710,,391,,0.0,,500.0,,670000,,
1336,1710,,391,,0.0,,500.0,,670000,,
1340,1710,,391,,0.0,,500.0,,670000,,
1344,1737,0.00075,391,0.004237738903611898,0.0,33834,500.0,-5.1979265213012695,680000,-5.650182723999023,0.0009580084006302059
1348,1737,,391,,0.0,,500.0,,680000,,
1352,1737,,391,,0.0,,500.0,,680000,,
1356,1737,,391,,0.0,,500.0,,680000,,
1360,1737,,391,,0.0,,500.0,,680000,,
1364,1763,0.00075,391,0.005580890458077192,0.0,34334,500.0,7.770992755889893,690000,-5.468873977661133,0.0008657315629534423
1368,1763,,391,,0.0,,500.0,,690000,,
1372,1763,,391,,0.0,,500.0,,690000,,
1376,1763,,391,,0.0,,500.0,,690000,,
1380,1763,,391,,0.0,,500.0,,690000,,
1384,1789,0.00075,391,0.004403484053909779,0.0,34834,500.0,-8.329675674438477,700000,-5.398845672607422,0.0009132918785326183
1388,1789,,391,,0.0,,500.0,,700000,,
1392,1789,,391,,0.0,,500.0,,700000,,
1396,1789,,391,,0.0,,500.0,,700000,,
1400,1789,,391,,0.0,,500.0,,700000,,
1404,1814,0.00075,391,0.002450080355629325,0.0,35334,500.0,-13.375744819641113,710000,-5.309024810791016,0.0009045363403856754
1408,1814,,391,,0.0,,500.0,,710000,,
1412,1814,,391,,0.0,,500.0,,710000,,
1416,1814,,391,,0.0,,500.0,,710000,,
1420,1814,,391,,0.0,,500.0,,710000,,
1424,1841,0.00075,391,0.008736765012145042,0.0,35834,500.0,-8.553567886352539,720000,-5.084903717041016,0.0009586947271600366
1428,1841,,391,,0.0,,500.0,,720000,,
1432,1841,,391,,0.0,,500.0,,720000,,
1436,1841,,391,,0.0,,500.0,,720000,,
1440,1841,,391,,0.0,,500.0,,720000,,
1444,1867,0.00075,390,0.04833264648914337,0.0,36334,500.0,6.692070960998535,730000,-5.070057392120361,0.0007785226334817708
1448,1867,,390,,0.0,,500.0,,730000,,
1452,1867,,390,,0.0,,500.0,,730000,,
1456,1867,,390,,0.0,,500.0,,730000,,
1460,1867,,390,,0.0,,500.0,,730000,,
1464,1894,0.00075,390,0.00424976134672761,0.0,36834,500.0,-6.11583137512207,740000,-4.947595596313477,0.0007613601046614349
1468,1894,,390,,0.0,,500.0,,740000,,
1472,1894,,390,,0.0,,500.0,,740000,,
1476,1894,,390,,0.0,,500.0,,740000,,
1480,1894,,390,,0.0,,500.0,,740000,,
1484,1920,0.00075,390,0.015473545528948307,0.0,37334,500.0,-7.58711576461792,750000,-4.736319541931152,0.0007938817725516856
1488,1920,,390,,0.0,,500.0,,750000,,
1492,1920,,390,,0.0,,500.0,,750000,,
1496,1920,,390,,0.0,,500.0,,750000,,
1500,1920,,390,,0.0,,500.0,,750000,,
1504,1945,0.00075,390,0.007213269360363483,0.0,37834,500.0,-5.217299938201904,760000,-4.729922771453857,0.0007964976830407977
1508,1945,,390,,0.0,,500.0,,760000,,
1512,1945,,390,,0.0,,500.0,,760000,,
1516,1945,,390,,0.0,,500.0,,760000,,
1520,1945,,390,,0.0,,500.0,,760000,,
1524,1970,0.00075,390,0.005399382673203945,0.0,38334,500.0,-4.852987289428711,770000,-4.694944381713867,0.0008012005127966404
1528,1970,,390,,0.0,,500.0,,770000,,
1532,1970,,390,,0.0,,500.0,,770000,,
1536,1970,,390,,0.0,,500.0,,770000,,
1540,1970,,390,,0.0,,500.0,,770000,,
1544,1995,0.00075,390,0.003881945973262191,0.0,38834,500.0,-0.7021245956420898,780000,-4.369119644165039,0.0007544030086137354
1548,1995,,390,,0.0,,500.0,,780000,,
1552,1995,,390,,0.0,,500.0,,780000,,
1556,1995,,390,,0.0,,500.0,,780000,,
1560,1995,,390,,0.0,,500.0,,780000,,
1564,2021,0.00075,390,0.02544994093477726,0.0,39334,500.0,-2.7011878490448,790000,-4.473869800567627,0.0006985763320699334
1568,2021,,390,,0.0,,500.0,,790000,,
1572,2021,,390,,0.0,,500.0,,790000,,
1576,2021,,390,,0.0,,500.0,,790000,,
1580,2021,,390,,0.0,,500.0,,790000,,
1584,2047,0.00075,390,0.0072280289605259895,0.53,39834,500.0,-7.118481636047363,800000,-4.254661560058594,0.0006831741775386035
1588,2047,,390,,0.53,,500.0,,800000,,
1592,2047,,390,,0.53,,500.0,,800000,,
1596,2047,,390,,0.53,,500.0,,800000,,
1600,2047,,390,,0.53,,500.0,,800000,,
1604,2072,0.00075,390,0.002533296123147011,0.53,40334,500.0,8.10289192199707,810000,-4.209621429443359,0.0007902540965005755
1608,2072,,390,,0.53,,500.0,,810000,,
1612,2072,,390,,0.53,,500.0,,810000,,
1616,2072,,390,,0.53,,500.0,,810000,,
1620,2072,,390,,0.53,,500.0,,810000,,
1624,2097,0.00075,390,0.1060081273317337,0.53,40834,500.0,-2.9187116622924805,820000,-4.161314010620117,0.0007592921028845012
1628,2097,,390,,0.53,,500.0,,820000,,
1632,2097,,390,,0.53,,500.0,,820000,,
1636,2097,,390,,0.53,,500.0,,820000,,
1640,2097,,390,,0.53,,500.0,,820000,,
1644,2123,0.00075,390,0.11175894737243652,0.53,41334,500.0,-2.080418825149536,830000,-4.082001686096191,0.0009105932549573481
1648,2123,,390,,0.53,,500.0,,830000,,
1652,2123,,390,,0.53,,500.0,,830000,,
1656,2123,,390,,0.53,,500.0,,830000,,
1660,2123,,390,,0.53,,500.0,,830000,,
1664,2149,0.00075,390,0.003883649595081806,2.6,41834,500.0,-9.05929183959961,840000,-3.9446048736572266,0.0009664401295594871
1668,2149,,390,,2.6,,500.0,,840000,,
1672,2149,,390,,2.6,,500.0,,840000,,
1676,2149,,390,,2.6,,500.0,,840000,,
1680,2149,,390,,2.6,,500.0,,840000,,
1684,2175,0.00075,390,0.03132541477680206,2.07,42334,500.0,-11.69568920135498,850000,-3.8699533939361572,0.0009807203896343708
1688,2175,,390,,2.07,,500.0,,850000,,
1692,2175,,390,,2.07,,500.0,,850000,,
1696,2175,,390,,2.07,,500.0,,850000,,
1700,2175,,390,,2.07,,500.0,,850000,,
1704,2200,0.00075,390,0.0025997133925557137,2.07,42834,500.0,3.371753215789795,860000,-3.7537314891815186,0.0008878158405423164
1708,2200,,390,,2.07,,500.0,,860000,,
1712,2200,,390,,2.07,,500.0,,860000,,
1716,2200,,390,,2.07,,500.0,,860000,,
1720,2200,,390,,2.07,,500.0,,860000,,
1724,2226,0.00075,390,0.27788054943084717,3.1,43334,500.0,16.75128173828125,870000,-3.652339220046997,0.0008761595818214118
1728,2226,,390,,3.1,,500.0,,870000,,
1732,2226,,390,,3.1,,500.0,,870000,,
1736,2226,,390,,3.1,,500.0,,870000,,
1740,2226,,390,,3.1,,500.0,,870000,,
